Australia,,,,,,,,,
,Tasmania,,,,,,,,
,,North East,,,,,,,
,,,Launceston,,,,,,
,,,,Cataract Gorge,,,,,
,,,,,,,,Description,
,,,,,,,,,Launceston is a city in the north of Tasmania and home to Cataract Gorge. The gorge is situated within walking distance from the City of Launceston. Launceston is one of Australia’s oldest cities and the first city to be lit by hydroelectricity. Cataract Gorge provided means to generate the hydroelectricity. The power station is now decommissioned and the once privately owned section of the land was sold back to the Tasmanian Government on the provision that it remain a free recreation space for the people of Tasmania.
,,,,,,,,Location,
,,,,,,,,,"Cataract Gorge (Basin Rd Carpark), 67 Basin Rd, West Launceston, TAS 7250"
,,,,,,,,Latitude,
,,,,,,,,,41.446994
,,,,,,,,Longitude,
,,,,,,,,,147.118169
,,,,,,,,Approach,
,,,,,,,,,"The gorge can be accessed from a range of entry points. The closest car park to the highlines is at the end of Basin Road. There is a huge paid car park between 8am - 6pm and free outside of these hours. Security had tipped us off that despite the car park gates being locked after hours, no fines or trouble will be issued for any campers who ‘forgot’ to get their vehicles out before the gate was locked. Locate the ‘Alexander Suspension Bridge’ crossing the river, the highline is located just 30m upstream to this bridge. Anchor positions are obvious."
,,,,,,,,Amenities,
,,,,,,,,,"24hr/ 7 days shower, toilet and change room facilities under the main cafe at the ducks reach gorge."
,,,,,,,,Tagging,
,,,,,,,,,Walk the webbing from either side to the bridge and pass it along the suspension bridge. (Very easy)
,,,,,,,,Warnings,
,,,,,,,,,NULL
,,,,,Cataract Gorge,,,,
,,,,,,,,Description,
,,,,,,,,,NULL
,,,,,,,,Location,
,,,,,,,,,NULL
,,,,,,,,Latitude,
,,,,,,,,,NULL
,,,,,,,,Longitude,
,,,,,,,,,NULL
,,,,,,,,Approach,
,,,,,,,,,NULL
,,,,,,,,Amenities,
,,,,,,,,,NULL
,,,,,,,,Tagging,
,,,,,,,,,NULL
,,,,,,,,Warnings,
,,,,,,,,,NULL
,,,,,,Highlines,,,
,,,,,,,1,,
,,,,,,,,Name,
,,,,,,,,,BOB
,,,,,,,,Length,
,,,,,,,,,56
,,,,,,,,Height,
,,,,,,,,,15
,,,,,,,,Stars,
,,,,,,,,,0
,,,,,,,,Latitude,
,,,,,,,,,NULL
,,,,,,,,Longitude,
,,,,,,,,,NULL
,,,,,,,,Who,
,,,,,,,,,Daniel Hoi Shun Ng
,,,,,,,,When,
,,,,,,,,,Jan-15
,,,,,,,,FA Who,
,,,,,,,,,Daniel Hoi Shun Ng
,,,,,,,,FA When,
,,,,,,,,,Feb-15
,,,,,,,,Description,
,,,,,,,,,Easy rigging on this fully bolted highline with ease of line crossing by using the suspension bridge right next to this highline. Daniel brought sport climbing to Cataract Gorge in the 1980’s and has been a contributor to the climbing scene in the gorge for a number of years since the first bolted sport route. He opened the eyes to the potential for fun lines up previously unprotected aretes and blank faces. Now Daniel has also brought the first established highline to the gorge in 2015. This line is remarkably easy to rig and will become a highline that can be rigged on the regular by any slackers passing through.
,,,,,,,,Warning,
,,,,,,,,,As the line crosses about 1m overhead of one of the main gorge walking tracks on the east side it is advisable to ensure public safety is carefully considered whilst rigging and walking.
,,,,,,,,Tension End,
,,,,,,,,,North
,,,,,,,,Tansion Main Anchor,
,,,,,,,,,4 x 8mm thru expansion bolts
,,,,,,,,Tension Backup Anchor,
,,,,,,,,,1 x 8mm thru expansion bolt & tree
,,,,,,,,Static Main Anchor,
,,,,,,,,,3 x 8mm thru expansion bolts
,,,,,,,,Static Backup Anchor,
,,,,,,,,,2 x 8mm thru expansion bolts
,,,,,,,2,,
,,,,,,,,Name,
,,,,,,,,,Danny
,,,,,,,,Length,
,,,,,,,,,80
,,,,,,,,Height,
,,,,,,,,,50
,,,,,,,,Stars,
,,,,,,,,,0
,,,,,,,,Latitude,
,,,,,,,,,NULL
,,,,,,,,Longitude,
,,,,,,,,,NULL
,,,,,,,,Who,
,,,,,,,,,"James Short, Joseph Huard, Gui Lopes, Daniel Hoi Shung Ng"
,,,,,,,,When,
,,,,,,,,,1/01/2015
,,,,,,,,FA Who,
,,,,,,,,,Joseph Huard
,,,,,,,,FA When,
,,,,,,,,,1/02/2015
,,,,,,,,Description,
,,,,,,,,,"Edge protection is required for these blocks with a few sharp contours to protect. Both sides are reasonable dangerous to access and setup rigging. Also beware of loose rocks that could dislodge and trundle down the hill towards walkers and other user groups. Ensure care is taken to retain access to the gorge. Having both highlines rigged at once is magical. A line originally spotted and visioned by Daniel Hoi Shung Ng, he had mentioned it to the SHF team who subsequently came and located/ established the line. Daniel provided his Spider Silk webbing to rig the highline and Joseph sent it onsight. Daniel Hoi Shung Ng passed away in December of 2015 in a tragic accident and will be remembered greatly for his efforts in Hong Kong/ China and his contributions to establishing some of the most classic sport climbs in Cataract gorge. He will be forever remembered by this line above his good friend Bob’."
,,,,,,,,Warning,
,,,,,,,,,NULL
,,,,,,,,Tension End,
,,,,,,,,,North
,,,,,,,,Tansion Main Anchor,
,,,,,,,,,9m girth around obvious blade/ block level with the lookout railing (note* there are two blocks however one is obviously more secure upon inspection) 
,,,,,,,,Tension Backup Anchor,
,,,,,,,,,NULL
,,,,,,,,Static Main Anchor,
,,,,,,,,,"10m girth around obvious block high up on the gorge wall, difficult to position the slings"
,,,,,,,,Static Backup Anchor,
,,,,,,,,,NULL
,,,,,,Midlines,,,
,,,,,,,NULL,,
,,,,,,Waterlines,,,
,,,,,,,1,,
,,,,,,,,Name,
,,,,,,,,,Diving Board Waterline
,,,,,,,,Length,
,,,,,,,,,30
,,,,,,,,Height,
,,,,,,,,,2
,,,,,,,,Stars,
,,,,,,,,,0
,,,,,,,,Latitude,
,,,,,,,,,NULL
,,,,,,,,Longitude,
,,,,,,,,,NULL
,,,,,,,,Who,
,,,,,,,,,"Stepan, Alex"
,,,,,,,,When,
,,,,,,,,,1/01/2016
,,,,,,,,FA Who,
,,,,,,,,,Stepan
,,,,,,,,FA When,
,,,,,,,,,1/01/2016
,,,,,,,,Description,
